11/20,今日の気分,寒いけど心地よい
11/15,やることリスト,年賀状の準備
11/10,映画メモ,「インターステラー」
11/5,仕事の課題,来年度の予算案作成
11/1,健康目標,新しいジムに通う
10/30,DIYメモ,机の修理
10/25,読書記録,「火花」
10/20,気になるお店,新しくできたカフェ
10/15,旅行計画,温泉地巡り
10/10,やりたいこと,登山に挑戦
10/5,買い物メモ,新しいリュック
10/1,目標,仕事の効率化
9/28,好きな曲,「夜に駆ける」
9/25,今日の出来事,虹を見た
9/20,勉強記録,英語スピーキング練習
9/15,運動メモ,スクワット30回
9/10,学びの記録,マインドフルネス
9/5,新しい挑戦,フランス語を始める
9/1,楽しかったこと,友人とのランチ
8/28,健康チェック,野菜中心の食生活
8/25,仕事メモ,新しいツールの導入
8/20,気になるニュース,AIの進化
8/15,やることリスト,書類の整理
8/10,好きな映画,「千と千尋の神隠し」
8/5,勉強計画,プログラミングを習得
8/1,新しい趣味,料理教室に通う
7/30,買い物リスト,クーラーボックス
7/25,旅行メモ,ビーチでリラックス
7/20,映画感想,「ラ・ラ・ランド」
7/15,仕事の課題,チームビルディング
7/10,健康記録,水泳を始める
7/5,気になる本,「モモ」
7/1,やり残したこと,部屋の片付け
6/28,今日の気分,晴れて気分爽快
6/25,運動メモ,ウォーキング5km
6/20,DIYメモ,収納棚を作る
6/15,週末の予定,友達とBBQ
6/10,学びの記録,デザイン基礎
6/5,新しい挑戦,自転車旅行
6/1,好きな曲,「カントリーロード」
5/30,映画リスト,次は「ジュラシックパーク」
5/25,健康メモ,睡眠時間を増やす
5/20,考えたこと,環境に優しい生活
5/15,読書メモ,「海辺のカフカ」
5/10,お気に入りの場所,川沿いのベンチ
5/5,やることリスト,洗車
5/1,旅行計画,ヨーロッパ巡り
4/28,買い物リスト,新しいスニーカー
4/25,学びの記録,マーケティング戦略
4/20,今日の出来事,雨の中散歩
4/15,映画メモ,「バック・トゥ・ザ・フューチャー」
4/10,気になるお店,駅前のパン屋
4/5,健康記録,体重が減った
4/1,新年度の目標,資格取得
3/28,好きな映画,「グランド・ブダペスト・ホテル」
3/25,考えたこと,未来のキャリア
3/20,やることリスト,衣替え
3/15,運動メモ,ランニング20分
3/10,DIYメモ,ランプを作る
3/5,健康チェック,血圧正常
3/1,映画感想,「ショーシャンクの空に」
2/28,今日の気分,曇り空でも元気
2/25,新しい挑戦,ヨガを始める
2/20,買い物メモ,スケッチブック
2/15,学びの記録,時間管理術
2/10,運動メモ,腹筋50回
2/5,やりたいこと,本を出版する
2/1,健康目標,砂糖を控える
1/28,気になる曲,「Bohemian Rhapsody」
1/25,今日の出来事,雪が降った
1/20,DIYメモ,棚を組み立てる
1/15,買い物リスト,新しいコート
1/10,目標,1日1つ新しいこと
1/5,好きな映画,「ゴッドファーザー」
1/1,新年の抱負,笑顔で過ごす一年
